file_path,filename,extension,hash,creation_date,width,height,format,size_kb,location_city,location_country,ai_category,ai_subject,ai_confidence,is_duplicate
/Users/jv/Pictures/Wallpapers/Dark-Navy-Powder-Coating-Color.jpg,Dark-Navy-Powder-Coating-Color.jpg,.jpg,4a84e0ca45439007a017398774138a94,2024-11-04 02:35:23.706468,500,609,JPEG,9.48,,,Document,Screenshot,0.3269,False
/Users/jv/Pictures/Wallpapers/Hockney 1.jpeg,Hockney 1.jpeg,.jpeg,c52f50b4682a92b5df2c719aba609c97,2023-10-03 16:39:22.653361,1400,1050,JPEG,543.5,,,Other,Art,0.3694,False
/Users/jv/Pictures/Wallpapers/wallpaperflare.com_wallpaper.jpg,wallpaperflare.com_wallpaper.jpg,.jpg,fa40c5cef3d25f1a4ebb2bd2a6e37d2f,2025-05-23 14:35:54.850545,4800,2700,JPEG,7790.92,,,Animals,Wild Animal,0.5551,False
/Users/jv/Pictures/Wallpapers/Gurney3.jpeg,Gurney3.jpeg,.jpeg,f77155a6e7e4003e8486900dfbef6020,2024-03-02 09:41:39.653557,1200,900,JPEG,200.93,,,Urban,City Street,0.9622,False
/Users/jv/Pictures/Wallpapers/pxfuel.jpg,pxfuel.jpg,.jpg,4296a93d9ceaade6759ddeadffe4129f,2023-10-03 16:37:18.107208,783,1113,JPEG,212.59,,,Nature,Forest,0.3662,False
/Users/jv/Pictures/Wallpapers/Stephen Wilkes Fall.jpg,Stephen Wilkes Fall.jpg,.jpg,aead737eb39cbcc808ff5a16340902fd,2025-02-18 10:47:13.000000,1920,1019,JPEG,2118.63,,,Urban,Architecture,0.553,False
/Users/jv/Pictures/Wallpapers/Frederic Church 2.jpg,Frederic Church 2.jpg,.jpg,e91ee0244314af3cf208f63ef95b2903,2025-08-27 22:31:34.575463,4800,2700,JPEG,11598.3,,,Nature,Mountain,0.8365,False
/Users/jv/Pictures/Wallpapers/Frederic Church 3.png,Frederic Church 3.png,.png,1955b93da4298482fa40d4c3b124a5cc,2024-11-12 19:33:15.372465,3840,2160,PNG,19309.13,,,Nature,Mountain,0.7988,False
/Users/jv/Pictures/Wallpapers/Stephen Wilkes Manitoba.jpg,Stephen Wilkes Manitoba.jpg,.jpg,ee5ef3e09def02735f4624a0ff0d3fb6,2020-02-13 16:56:15.000000,1920,1321,JPEG,1499.37,,,Nature,Sky,0.4287,False
/Users/jv/Pictures/Wallpapers/Frederic Church 1.jpg,Frederic Church 1.jpg,.jpg,ed943a1310c58f762a318cd9ae851496,2025-08-27 22:31:46.884111,4800,2700,JPEG,6494.2,,,Nature,Mountain,0.7603,False
/Users/jv/Pictures/Wallpapers/Your Name 2.jpg,Your Name 2.jpg,.jpg,d65a01b9d9fbc08374be22994e68b649,2025-03-27 14:24:22.674493,15360,8640,JPEG,53003.9,,,Urban,City Street,0.7943,False
/Users/jv/Pictures/Wallpapers/Stephen Wilkes The Yukon.jpg,Stephen Wilkes The Yukon.jpg,.jpg,009a311a39c1ea4895e4b8b065c6cd98,2023-10-12 15:58:45.000000,1920,817,JPEG,1411.3,,,Nature,Mountain,0.6206,False
/Users/jv/Pictures/Wallpapers/Your Name.png,Your Name.png,.png,cb0e7a9aeaee1a97e1c3f727978d6f05,2025-03-27 14:21:20.838474,3827,2392,PNG,26842.81,,,Other,Random Object,0.633,False
/Users/jv/Pictures/Wallpapers/Your Name.jpg,Your Name.jpg,.jpg,9ee3519f8409de72fa3ba9314622ecb4,2025-05-23 14:34:33.162980,15360,8640,JPEG,82694.52,,,Urban,Car,0.7094,False
